data_source_code,external_ref,measure_unit_label,amount,gram_weight,description,modifier,basis
usda_fdc_sr_legacy,170001,"slice, medium (1/8"" thick)",1.0,12.0,,"slice, medium (1/8"" thick)",usda
usda_fdc_sr_legacy,170001,small,1.0,60.0,,small,usda
usda_fdc_sr_legacy,170001,"slice, thin",1.0,8.0,,"slice, thin",usda
usda_fdc_sr_legacy,170026,"cup, diced",0.5,75.0,,"cup, diced",usda
usda_fdc_sr_legacy,170026,"Potato large (3"" to 4-1/4"" dia)",1.0,369.0,,"Potato large (3"" to 4-1/4"" dia)",usda
usda_fdc_sr_legacy,170026,"Potato medium (2-1/4"" to 3-1/4"" dia)",1.0,213.0,,"Potato medium (2-1/4"" to 3-1/4"" dia)",usda
usda_fdc_sr_legacy,170026,"Potato small (1-3/4"" to 2-1/2"" dia)",1.0,170.0,,"Potato small (1-3/4"" to 2-1/2"" dia)",usda
usda_fdc_sr_legacy,170287,cup,1.0,182.0,,cup,usda
usda_fdc_sr_legacy,170287,tbsp,1.0,8.4,,tbsp,usda
usda_fdc_sr_legacy,170393,cup chopped,1.0,128.0,,cup chopped,usda
usda_fdc_sr_legacy,170393,cup grated,1.0,110.0,,cup grated,usda
usda_fdc_sr_legacy,170393,cup strips or slices,1.0,122.0,,cup strips or slices,usda
usda_fdc_sr_legacy,170393,"large (7-1/4"" to 8-/1/2"" long)",1.0,72.0,,"large (7-1/4"" to 8-/1/2"" long)",usda
usda_fdc_sr_legacy,170393,medium,1.0,61.0,,medium,usda
usda_fdc_sr_legacy,170393,"small (5-1/2"" long)",1.0,50.0,,"small (5-1/2"" long)",usda
usda_fdc_sr_legacy,170393,slice,1.0,3.0,,slice,usda
usda_fdc_sr_legacy,170393,"strip large (3"" long)",1.0,7.0,,"strip large (3"" long)",usda
usda_fdc_sr_legacy,170393,strip medium,1.0,4.0,,strip medium,usda
usda_fdc_sr_legacy,170394,tbsp,1.0,9.7,,tbsp,usda
usda_fdc_sr_legacy,170394,cup slices,0.5,78.0,,cup slices,usda
usda_fdc_sr_legacy,170394,carrot,1.0,46.0,,carrot,usda
usda_fdc_sr_legacy,170419,cup,1.0,145.0,,cup,usda
usda_fdc_sr_legacy,170420,cup,1.0,160.0,,cup,usda
usda_fdc_sr_legacy,170440,cup,0.5,78.0,,cup,usda
usda_fdc_sr_legacy,170440,"large (3"" to 4-1/4"" dia.)",1.0,300.0,,"large (3"" to 4-1/4"" dia.)",usda
usda_fdc_sr_legacy,170440,"medium (2-1/4"" to 3-1/4"" dia.)",1.0,167.0,,"medium (2-1/4"" to 3-1/4"" dia.)",usda
usda_fdc_sr_legacy,170440,"small (1-3/4"" to 2-1/2"" dia.)",1.0,125.0,,"small (1-3/4"" to 2-1/2"" dia.)",usda
usda_fdc_sr_legacy,170457,cup cherry tomatoes,1.0,149.0,,cup cherry tomatoes,usda
usda_fdc_sr_legacy,170457,"cup, chopped or sliced",1.0,180.0,,"cup, chopped or sliced",usda
usda_fdc_sr_legacy,170457,Italian tomato,1.0,62.0,,Italian tomato,usda
usda_fdc_sr_legacy,170457,cherry,1.0,17.0,,cherry,usda
usda_fdc_sr_legacy,170457,"large whole (3"" dia)",1.0,182.0,,"large whole (3"" dia)",usda
