data_source_code,external_ref,nutrient_code,amount_per_100g,unit,method,sample_count,min_amount,max_amount,notes
usda_fdc_sr_legacy,168191,vitamin_d_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,168191,vitamin_k_ug,2.7,ug,imported,2,2.7,2.8,A: Analytical
usda_fdc_sr_legacy,168191,water_g,21.32,g,imported,2,19.53,23.11,A: Analytical
usda_fdc_sr_legacy,168191,zinc_mg,0.44,mg,imported,2,0.43,0.45,A: Analytical
usda_fdc_sr_legacy,168409,ash_g,0.38,g,imported,4,0.38,0.38,A: Analytical
usda_fdc_sr_legacy,168409,calcium_mg,16.0,mg,imported,4,16,16,A: Analytical
usda_fdc_sr_legacy,168409,carbohydrate_g,3.63,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168409,cholesterol_mg,0.0,mg,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,168409,energy_kcal,15.0,kcal,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168409,energy_kj,65.0,kJ,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168409,fat_g,0.11,g,imported,9,0.1,0.11,"JO: Aggregated data involving combinations of data with different source codes when at least one code is not 1, 6, 12, or 13"
usda_fdc_sr_legacy,168409,fat_mono_g,0.005,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168409,fat_poly_g,0.032,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168409,fat_sat_g,0.037,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168409,fiber_g,0.5,g,imported,1,0.5,0.5,
usda_fdc_sr_legacy,168409,folate_ug,7.0,ug,imported,8,7,7,A: Analytical
usda_fdc_sr_legacy,168409,iron_mg,0.28,mg,imported,4,0.28,0.28,A: Analytical
usda_fdc_sr_legacy,168409,magnesium_mg,13.0,mg,imported,4,13,13,A: Analytical
usda_fdc_sr_legacy,168409,niacin_mg,0.098,mg,imported,8,0.098,0.098,A: Analytical
usda_fdc_sr_legacy,168409,phosphorus_mg,24.0,mg,imported,4,24,24,A: Analytical
usda_fdc_sr_legacy,168409,potassium_mg,147.0,mg,imported,4,147,147,A: Analytical
usda_fdc_sr_legacy,168409,protein_g,0.65,g,imported,4,0.65,0.65,A: Analytical
usda_fdc_sr_legacy,168409,riboflavin_mg,0.033,mg,imported,4,0.033,0.033,A: Analytical
usda_fdc_sr_legacy,168409,sodium_mg,2.0,mg,imported,54,,,
usda_fdc_sr_legacy,168409,sugars_g,1.67,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168409,thiamin_mg,0.027,mg,imported,4,0.027,0.027,A: Analytical
usda_fdc_sr_legacy,168409,vitamin_a_rae_ug,5.0,ug,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168409,vitamin_b12_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,168409,vitamin_b6_mg,0.04,mg,imported,4,0.04,0.04,A: Analytical
usda_fdc_sr_legacy,168409,vitamin_c_mg,2.8,mg,imported,4,2.8,2.8,A: Analytical
usda_fdc_sr_legacy,168409,vitamin_d_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,168409,vitamin_e_mg,0.03,mg,imported,5,0.03,0.03,"JO: Aggregated data involving combinations of data with different source codes when at least one code is not 1, 6, 12, or 13"
usda_fdc_sr_legacy,168409,vitamin_k_ug,16.4,ug,imported,4,16.4,16.4,A: Analytical
usda_fdc_sr_legacy,168409,water_g,95.23,g,imported,2,90.12,96.41,"JO: Aggregated data involving combinations of data with different source codes when at least one code is not 1, 6, 12, or 13"
usda_fdc_sr_legacy,168409,zinc_mg,0.2,mg,imported,4,0.2,0.2,A: Analytical
usda_fdc_sr_legacy,168462,ash_g,1.72,g,imported,8,,,
usda_fdc_sr_legacy,168462,calcium_mg,99.0,mg,imported,9,,,
usda_fdc_sr_legacy,168462,carbohydrate_g,3.63,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168462,cholesterol_mg,0.0,mg,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,168462,energy_kcal,23.0,kcal,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168462,energy_kj,97.0,kJ,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168462,fat_g,0.39,g,imported,7,0.25,0.5,
usda_fdc_sr_legacy,168462,fat_mono_g,0.01,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168462,fat_poly_g,0.165,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168462,fat_sat_g,0.063,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168462,fiber_g,2.2,g,imported,1,,,
usda_fdc_sr_legacy,168462,folate_ug,194.0,ug,imported,6,,,
usda_fdc_sr_legacy,168462,iron_mg,2.71,mg,imported,10,,,
usda_fdc_sr_legacy,168462,magnesium_mg,79.0,mg,imported,7,,,
usda_fdc_sr_legacy,168462,niacin_mg,0.724,mg,imported,9,,,
usda_fdc_sr_legacy,168462,phosphorus_mg,49.0,mg,imported,7,,,
usda_fdc_sr_legacy,168462,potassium_mg,558.0,mg,imported,10,,,
usda_fdc_sr_legacy,168462,protein_g,2.86,g,imported,9,,,
usda_fdc_sr_legacy,168462,riboflavin_mg,0.189,mg,imported,9,,,
usda_fdc_sr_legacy,168462,sodium_mg,79.0,mg,imported,10,,,
usda_fdc_sr_legacy,168462,sugars_g,0.42,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168462,thiamin_mg,0.078,mg,imported,9,,,
usda_fdc_sr_legacy,168462,vitamin_a_rae_ug,469.0,ug,imported,0,,,
usda_fdc_sr_legacy,168462,vitamin_b12_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,168462,vitamin_b6_mg,0.195,mg,imported,6,,,
usda_fdc_sr_legacy,168462,vitamin_c_mg,28.1,mg,imported,7,,,
usda_fdc_sr_legacy,168462,vitamin_d_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,168462,vitamin_e_mg,2.03,mg,imported,7,1.41,2.7,
usda_fdc_sr_legacy,168462,vitamin_k_ug,482.9,ug,imported,1,,,
usda_fdc_sr_legacy,168462,water_g,91.4,g,imported,1,87.75,94.16,"JO: Aggregated data involving combinations of data with different source codes when at least one code is not 1, 6, 12, or 13"
usda_fdc_sr_legacy,168462,zinc_mg,0.53,mg,imported,7,,,
usda_fdc_sr_legacy,168463,ash_g,1.81,g,imported,16,,,
usda_fdc_sr_legacy,168463,calcium_mg,136.0,mg,imported,12,,,
usda_fdc_sr_legacy,168463,carbohydrate_g,3.75,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168463,cholesterol_mg,0.0,mg,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,168463,energy_kcal,23.0,kcal,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168463,energy_kj,96.0,kJ,imported,0,,,
usda_fdc_sr_legacy,168463,fat_g,0.26,g,imported,16,,,
usda_fdc_sr_legacy,168463,fat_mono_g,0.006,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168463,fat_poly_g,0.109,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168463,fat_sat_g,0.043,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168463,fiber_g,2.4,g,imported,0,,,
usda_fdc_sr_legacy,168463,folate_ug,146.0,ug,imported,3,,,
usda_fdc_sr_legacy,168463,iron_mg,3.57,mg,imported,12,,,
usda_fdc_sr_legacy,168463,magnesium_mg,87.0,mg,imported,12,,,
usda_fdc_sr_legacy,168463,niacin_mg,0.49,mg,imported,12,,,
usda_fdc_sr_legacy,168463,phosphorus_mg,56.0,mg,imported,12,,,
usda_fdc_sr_legacy,168463,potassium_mg,466.0,mg,imported,12,,,
usda_fdc_sr_legacy,168463,protein_g,2.97,g,imported,16,,,
usda_fdc_sr_legacy,168463,riboflavin_mg,0.236,mg,imported,12,,,
usda_fdc_sr_legacy,168463,sodium_mg,70.0,mg,imported,8,,,
usda_fdc_sr_legacy,168463,sugars_g,0.43,g,imported,0,,,BFSN: Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors not used
usda_fdc_sr_legacy,168463,thiamin_mg,0.095,mg,imported,12,,,
usda_fdc_sr_legacy,168463,vitamin_a_rae_ug,524.0,ug,imported,0,,,
usda_fdc_sr_legacy,168463,vitamin_b12_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,168463,vitamin_b6_mg,0.242,mg,imported,12,,,
usda_fdc_sr_legacy,168463,vitamin_c_mg,9.8,mg,imported,12,,,
usda_fdc_sr_legacy,168463,vitamin_d_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,168463,vitamin_e_mg,2.08,mg,imported,0,,,BFSN: Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors not used
