data_source_code,external_ref,nutrient_code,amount_per_100g,unit,method,sample_count,min_amount,max_amount,notes
usda_fdc_sr_legacy,173757,vitamin_k_ug,4.0,ug,imported,0,,,BFSN: Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors not used
usda_fdc_sr_legacy,173757,water_g,60.21,g,imported,23,,,
usda_fdc_sr_legacy,173757,zinc_mg,1.53,mg,imported,27,,,
usda_fdc_sr_legacy,173800,ash_g,0.91,g,imported,4,0.7,1.13,A: Analytical
usda_fdc_sr_legacy,173800,calcium_mg,45.0,mg,imported,4,29,52,A: Analytical
usda_fdc_sr_legacy,173800,carbohydrate_g,22.53,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173800,cholesterol_mg,0.0,mg,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,173800,energy_kcal,139.0,kcal,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173800,energy_kj,583.0,kJ,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173800,fat_g,2.77,g,imported,4,2.6,3.2,A: Analytical
usda_fdc_sr_legacy,173800,fat_mono_g,0.488,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173800,fat_poly_g,0.967,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173800,fat_sat_g,0.214,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173800,fiber_g,6.4,g,imported,0,,,BFSN: Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors not used
usda_fdc_sr_legacy,173800,folate_ug,48.0,ug,imported,0,,,A: Analytical
usda_fdc_sr_legacy,173800,iron_mg,1.07,mg,imported,4,1.03,1.17,A: Analytical
usda_fdc_sr_legacy,173800,magnesium_mg,26.0,mg,imported,4,24,28,A: Analytical
usda_fdc_sr_legacy,173800,niacin_mg,0.14,mg,imported,4,0.13,0.15,A: Analytical
usda_fdc_sr_legacy,173800,phosphorus_mg,85.0,mg,imported,4,74,95,A: Analytical
usda_fdc_sr_legacy,173800,potassium_mg,126.0,mg,imported,4,108,145,A: Analytical
usda_fdc_sr_legacy,173800,protein_g,7.05,g,imported,4,6.48,7.85,A: Analytical
usda_fdc_sr_legacy,173800,riboflavin_mg,0.015,mg,imported,4,0.015,0.015,A: Analytical
usda_fdc_sr_legacy,173800,sodium_mg,246.0,mg,imported,4,215,303,A: Analytical
usda_fdc_sr_legacy,173800,sugars_g,4.01,g,imported,0,,,BFSN: Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors not used
usda_fdc_sr_legacy,173800,thiamin_mg,0.027,mg,imported,4,0.02,0.03,A: Analytical
usda_fdc_sr_legacy,173800,vitamin_a_rae_ug,1.0,ug,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173800,vitamin_b12_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,173800,vitamin_b6_mg,0.116,mg,imported,0,,,BFSN: Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors not used
usda_fdc_sr_legacy,173800,vitamin_c_mg,0.1,mg,imported,4,0.1,0.3,A: Analytical
usda_fdc_sr_legacy,173800,vitamin_d_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,173800,vitamin_e_mg,0.29,mg,imported,0,,,BFSN: Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors not used
usda_fdc_sr_legacy,173800,vitamin_k_ug,3.4,ug,imported,0,,,BFSN: Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors not used
usda_fdc_sr_legacy,173800,water_g,66.72,g,imported,4,65.9,68.1,A: Analytical
usda_fdc_sr_legacy,173800,zinc_mg,0.63,mg,imported,4,0.51,0.81,A: Analytical
